Hello everyone, my name is Emma and today we have a very special lesson for you. ||Hˍˍˍo everyone, my name iˍ Emma aˍˍ today we have ˍ very spˍˍˍal lesson fˍˍ you. ||Hˍˍˍo everyone, my name iˍ Emma aˍˍ today we have ˍ vˍˍˍ sˍˍˍˍˍl lesson fˍˍ you. ||Hˍˍˍˍ everyone, my name iˍ Emma aˍˍ today we haˍˍ ˍ vˍˍˍ sˍˍˍˍˍl lesson fˍˍ you. ||Hˍˍˍˍ everyone, my nˍˍˍ iˍ Emma aˍˍ tˍˍˍˍ we haˍˍ ˍ vˍˍˍ sˍˍˍˍˍˍ lesson fˍˍ you. ||ˍˍˍˍˍ eˍˍˍˍˍˍˍ, mˍ nˍˍˍ ˍˍ Emma aˍˍ tˍˍˍˍ wˍ hˍˍˍ ˍ ˍˍˍˍ ˍˍˍˍˍˍˍ lesson ˍˍˍ you. || 大家好，我叫艾玛，今天我们有一个非常特别的课程给你们。
First of all, you will notice I'm not in the usual place. ||Fˍˍˍt oˍ all, you will notice I'ˍ nˍˍ iˍ tˍˍ uˍˍˍl place. ||Fˍˍˍt oˍ all, you wˍˍˍ notice I'ˍ nˍˍ iˍ tˍˍ uˍˍˍl place. ||Fˍˍˍˍ oˍ all, you wˍˍˍ notiˍˍ I'ˍ nˍˍ iˍ tˍˍ uˍˍˍˍ place. ||Fˍˍˍˍ oˍ all, you wˍˍˍ notˍˍˍ I'ˍ nˍˍ iˍ tˍˍ uˍˍˍˍ pˍˍˍˍ. ||ˍˍˍˍˍ ˍˍ all, yˍˍ ˍˍˍˍ nˍˍˍˍˍ Iˍˍ ˍˍˍ ˍˍ ˍˍˍ ˍˍˍˍˍ place. || 首先，你会注意到我不在平常的地方。
I'm in a different place today. I'm actually at my home. ||I'ˍ iˍ ˍ diˍˍˍˍˍnt place today. I'ˍ acˍˍˍˍly aˍ my home. ||I'ˍ iˍ ˍ dˍˍˍˍˍˍˍt place today. I'ˍ aˍˍˍˍˍˍy aˍ my home. ||I'ˍ iˍ ˍ dˍˍˍˍˍˍˍt place today. I'ˍ aˍˍˍˍˍˍy aˍ my home. ||I'ˍ iˍ ˍ dˍˍˍˍˍˍˍˍ pˍˍˍˍ tˍˍˍˍ. I'ˍ aˍˍˍˍˍˍˍ aˍ my hˍˍˍ. ||Iˍˍ ˍˍ ˍ ˍˍˍˍˍˍˍˍˍ place tˍˍˍˍ. Iˍˍ ˍˍˍˍˍˍˍˍ ˍˍ mˍ home. || 今天我在一个不同的地方。我其实在家里。
So you might notice I have a big book collection and I'm very excited to be here because not only am I at home, but I have a very exciting lesson for you today. ||Sˍ you mˍˍˍt notice I have ˍ bˍˍ book collection aˍˍ I'ˍ very exˍˍˍed tˍ bˍ here beˍˍˍse nˍˍ only aˍ I aˍ home, bˍˍ I have ˍ very exˍˍˍˍng lesson fˍˍ you today. ||Sˍ you mˍˍˍt notice I have ˍ bˍˍ book collection aˍˍ I'ˍ vˍˍˍ eˍˍˍˍˍd tˍ bˍ hˍˍˍ bˍˍˍˍˍe nˍˍ oˍˍˍ aˍ I aˍ home, bˍˍ I have ˍ vˍˍˍ eˍˍˍˍˍˍg lesson fˍˍ you today. ||Sˍ you mˍˍˍˍ notiˍˍ I haˍˍ ˍ bˍˍ book collection aˍˍ I'ˍ vˍˍˍ eˍˍˍˍˍd tˍ bˍ hˍˍˍ bˍˍˍˍˍe nˍˍ oˍˍˍ aˍ I aˍ home, bˍˍ I haˍˍ ˍ vˍˍˍ eˍˍˍˍˍˍg lesson fˍˍ you today. ||Sˍ you mˍˍˍˍ notˍˍˍ I haˍˍ ˍ bˍˍ bˍˍˍ collection aˍˍ I'ˍ vˍˍˍ eˍˍˍˍˍˍ tˍ bˍ hˍˍˍ bˍˍˍˍˍˍ nˍˍ oˍˍˍ aˍ I aˍ hˍˍˍ, bˍˍ I haˍˍ ˍ vˍˍˍ eˍˍˍˍˍˍˍ lesson fˍˍ you tˍˍˍˍ. ||ˍˍ yˍˍ ˍˍˍˍˍ nˍˍˍˍˍ I hˍˍˍ ˍ ˍˍˍ bˍˍˍ collection aˍˍ Iˍˍ ˍˍˍˍ ˍˍˍˍˍˍˍ ˍˍ ˍˍ ˍˍˍˍ bˍˍˍˍˍˍ ˍˍˍ ˍˍˍˍ ˍˍ I ˍˍ home, bˍˍ I hˍˍˍ ˍ ˍˍˍˍ ˍˍˍˍˍˍˍˍ lesson ˍˍˍ you tˍˍˍˍ. || 所以你可能会注意到我有一个很大的藏书量，我很兴奋在这里，因为不仅我在家，而且今天我有一个非常令人兴奋的课程给你们。
Today we are going to learn about machine learning programs like ChatGPT and how these programs can really help you improve your English. ||Today we aˍˍ going tˍ learn aˍˍˍt machine learning programs like ChatGPT aˍˍ hˍˍ tˍˍˍe programs cˍˍ rˍˍˍˍy help you improve your English. ||Today we aˍˍ going tˍ learn aˍˍˍt machine learning programs lˍˍˍ ChatGPT aˍˍ hˍˍ tˍˍˍe programs cˍˍ rˍˍˍˍy help you improve your English. ||Today we aˍˍ goiˍˍ tˍ leaˍˍ aˍˍˍˍ machine learˍˍˍˍ programs lˍˍˍ ChatGPT aˍˍ hˍˍ tˍˍˍˍ programs cˍˍ rˍˍˍˍˍ heˍˍ you imprˍˍˍ your English. ||Tˍˍˍˍ we aˍˍ goˍˍˍ tˍ leˍˍˍ aˍˍˍˍ mˍˍˍˍˍˍ leaˍˍˍˍˍ pˍˍˍˍˍˍˍ lˍˍˍ ChatGPT aˍˍ hˍˍ tˍˍˍˍ pˍˍˍˍˍˍˍ cˍˍ rˍˍˍˍˍ heˍˍ you impˍˍˍˍ your English. ||Tˍˍˍˍ wˍ ˍˍˍ gˍˍˍˍ ˍˍ lˍˍˍˍ ˍˍˍˍˍ mˍˍˍˍˍˍ lˍˍˍˍˍˍˍ programs ˍˍˍˍ ChatGPT aˍˍ hˍˍ ˍˍˍˍˍ pˍˍˍˍˍˍˍ ˍˍˍ ˍˍˍˍˍˍ hˍˍˍ yˍˍ iˍˍˍˍˍˍ yˍˍˍ English. || 今天我们要学习像ChatGPT这样的机器学习程序，以及这些程序如何真正帮助你提高英语。
Now it's very exciting. I have been practicing and experimenting with ChatGPT and machine learning programs myself because I'm learning Mandarin and I find that these programs can do a lot. ||Nˍˍ it'ˍ very exˍˍˍˍng. I have been practicing aˍˍ experimenting with ChatGPT aˍˍ machine learning programs myself beˍˍˍse I'ˍ learning Mandarin aˍˍ I find that tˍˍˍe programs cˍˍ do ˍ lot. ||Nˍˍ it'ˍ vˍˍˍ eˍˍˍˍˍˍg. I hˍˍˍ bˍˍˍ practicing aˍˍ experimenting wˍˍˍ ChatGPT aˍˍ machine learning programs myself bˍˍˍˍˍe I'ˍ learning Mandarin aˍˍ I find tˍˍˍ tˍˍˍe programs cˍˍ do ˍ lot. ||Nˍˍ it'ˍ vˍˍˍ eˍˍˍˍˍˍg. I hˍˍˍ bˍˍˍ pracˍˍˍˍˍg aˍˍ expeˍˍˍˍˍˍˍˍg wˍˍˍ ChatGPT aˍˍ machine learning programs myself bˍˍˍˍˍe I'ˍ learˍˍˍˍ Mandarin aˍˍ I fiˍˍ tˍˍˍ tˍˍˍˍ programs cˍˍ dˍ ˍ lot. ||Nˍˍ it'ˍ vˍˍˍ eˍˍˍˍˍˍˍ. I hˍˍˍ bˍˍˍ praˍˍˍˍˍˍg aˍˍ expˍˍˍˍˍˍˍˍˍg wˍˍˍ Cˍˍˍˍˍˍ aˍˍ mˍˍˍˍˍˍ lˍˍˍˍˍˍˍ pˍˍˍˍˍˍˍ myself bˍˍˍˍˍˍ I'ˍ leaˍˍˍˍˍ Mandarin aˍˍ I fiˍˍ tˍˍˍ tˍˍˍˍ pˍˍˍˍˍˍˍ cˍˍ dˍ ˍ lot. ||ˍˍˍ iˍˍˍ ˍˍˍˍ ˍˍˍˍˍˍˍˍ. I ˍˍˍˍ ˍˍˍˍ pˍˍˍˍˍˍˍˍˍ aˍˍ eˍˍˍˍˍˍˍˍˍˍˍˍ ˍˍˍˍ Cˍˍˍˍˍˍ aˍˍ mˍˍˍˍˍˍ lˍˍˍˍˍˍˍ programs mˍˍˍˍˍ bˍˍˍˍˍˍ Iˍˍ lˍˍˍˍˍˍˍ Mandarin aˍˍ I fˍˍˍ tˍˍˍ ˍˍˍˍˍ pˍˍˍˍˍˍˍ ˍˍˍ dˍ ˍ lot. || 现在非常令人兴奋。我自己一直在练习和试验ChatGPT和机器学习程序，因为我在学习普通话，我发现这些程序能做很多事情。
And so I'm very happy to share this with you today. ||Aˍˍ sˍ I'ˍ very hˍˍˍy tˍ share this with you today. ||Aˍˍ sˍ I'ˍ vˍˍˍ hˍˍˍy tˍ share this wˍˍˍ you today. ||Aˍˍ sˍ I'ˍ vˍˍˍ hˍˍˍˍ tˍ shaˍˍ this wˍˍˍ you today. ||Aˍˍ sˍ I'ˍ vˍˍˍ hˍˍˍˍ tˍ shˍˍˍ this wˍˍˍ you tˍˍˍˍ. ||Aˍˍ ˍˍ Iˍˍ ˍˍˍˍ ˍˍˍˍˍ ˍˍ sˍˍˍˍ this ˍˍˍˍ you tˍˍˍˍ. || 所以我很高兴今天与大家分享这个。
So in this video, we're going to talk mostly about ChatGPT because it's the most popular machine learning program for language right now. And it's also free at the time of this filming. ||Sˍ iˍ this video, we'ˍˍ going tˍ talk mˍˍˍˍy aˍˍˍt ChatGPT beˍˍˍse it'ˍ tˍˍ most poˍˍˍar machine learning program fˍˍ language rˍˍˍt nˍˍ. Aˍˍ it'ˍ also free aˍ tˍˍ time oˍ this filming. ||Sˍ iˍ tˍˍˍ video, we'ˍˍ going tˍ talk mˍˍˍˍy aˍˍˍt ChatGPT bˍˍˍˍˍe it'ˍ tˍˍ mˍˍˍ pˍˍˍˍˍr machine learning program fˍˍ language rˍˍˍt nˍˍ. Aˍˍ it'ˍ aˍˍˍ fˍˍˍ aˍ tˍˍ time oˍ tˍˍˍ filming. ||Sˍ iˍ tˍˍˍ video, we'ˍˍ goiˍˍ tˍ taˍˍ mˍˍˍˍˍ aˍˍˍˍ ChatGPT bˍˍˍˍˍe it'ˍ tˍˍ mˍˍˍ pˍˍˍˍˍr machine learning program fˍˍ language rˍˍˍˍ nˍˍ. Aˍˍ it'ˍ aˍˍˍ fˍˍˍ aˍ tˍˍ time oˍ tˍˍˍ filming. ||Sˍ iˍ tˍˍˍ vˍˍˍˍ, we'ˍˍ goˍˍˍ tˍ taˍˍ mˍˍˍˍˍ aˍˍˍˍ ChatGPT bˍˍˍˍˍˍ it'ˍ tˍˍ mˍˍˍ pˍˍˍˍˍˍ mˍˍˍˍˍˍ lˍˍˍˍˍˍˍ pˍˍˍˍˍˍ fˍˍ lˍˍˍˍˍˍˍ rˍˍˍˍ nˍˍ. Aˍˍ it'ˍ aˍˍˍ fˍˍˍ aˍ tˍˍ tˍˍˍ oˍ tˍˍˍ fˍˍˍˍˍˍ. ||ˍˍ ˍˍ ˍˍˍˍ video, wˍˍˍˍ gˍˍˍˍ ˍˍ tˍˍˍ ˍˍˍˍˍˍ ˍˍˍˍˍ ChatGPT bˍˍˍˍˍˍ iˍˍˍ ˍˍˍ ˍˍˍˍ ˍˍˍˍˍˍˍ mˍˍˍˍˍˍ lˍˍˍˍˍˍˍ pˍˍˍˍˍˍ ˍˍˍ language ˍˍˍˍˍ ˍˍˍ. Aˍˍ iˍˍˍ ˍˍˍˍ ˍˍˍˍ ˍˍ ˍˍˍ time ˍˍ ˍˍˍˍ filming. || 所以在这个视频中，我们主要讨论ChatGPT，因为它是目前最流行的语言机器学习程序。而且在拍摄时它是免费的。
So I think it's a great example, but what you learn in this video can be used with other machine learning programs because I'm sure in the future there's going to be more and the possibilities will be endless with what you can do with these. ||Sˍ I think it'ˍ ˍ gˍˍˍt example, bˍˍ what you learn iˍ this video cˍˍ bˍ used with oˍˍˍr machine learning programs beˍˍˍse I'ˍ sure iˍ tˍˍ future there's going tˍ bˍ more aˍˍ tˍˍ possibilities will bˍ enˍˍˍss with what you cˍˍ dˍ with these. ||Sˍ I think it'ˍ ˍ gˍˍˍt example, bˍˍ what you learn iˍ tˍˍˍ video cˍˍ bˍ used wˍˍˍ oˍˍˍr machine learning programs bˍˍˍˍˍe I'ˍ sˍˍˍ iˍ tˍˍ future there's going tˍ bˍ mˍˍˍ aˍˍ tˍˍ possibilities wˍˍˍ bˍ eˍˍˍˍˍs wˍˍˍ what you cˍˍ dˍ wˍˍˍ these. ||Sˍ I thiˍˍ it'ˍ ˍ gˍˍˍˍ example, bˍˍ what you leaˍˍ iˍ tˍˍˍ video cˍˍ bˍ use~ wˍˍˍ oˍˍˍˍ machine learˍˍˍˍ programs bˍˍˍˍˍe I'ˍ sˍˍˍ iˍ tˍˍ future there'ˍ goiˍˍ tˍ bˍ mˍˍˍ aˍˍ tˍˍ possibilities wˍˍˍ bˍ eˍˍˍˍˍs wˍˍˍ what you cˍˍ dˍ wˍˍˍ these. ||Sˍ I thˍˍˍ it'ˍ ˍ gˍˍˍˍ eˍˍˍˍˍˍ, bˍˍ what you leˍˍˍ iˍ tˍˍˍ vˍˍˍˍ cˍˍ bˍ use~ wˍˍˍ oˍˍˍˍ mˍˍˍˍˍˍ leaˍˍˍˍˍ pˍˍˍˍˍˍˍ bˍˍˍˍˍˍ I'ˍ sˍˍˍ iˍ tˍˍ fˍˍˍˍˍ there'ˍ goˍˍˍ tˍ bˍ mˍˍˍ aˍˍ tˍˍ pˍˍˍˍˍˍˍˍˍˍˍˍ wˍˍˍ bˍ eˍˍˍˍˍˍ wˍˍˍ what you cˍˍ dˍ wˍˍˍ these. ||ˍˍ I tˍˍˍˍ iˍˍˍ ˍ ˍˍˍˍˍ eˍˍˍˍˍˍ, bˍˍ what yˍˍ lˍˍˍˍ ˍˍ ˍˍˍˍ video ˍˍˍ ˍˍ uˍˍˍ ˍˍˍˍ ˍˍˍˍˍ mˍˍˍˍˍˍ lˍˍˍˍˍˍˍ programs bˍˍˍˍˍˍ Iˍˍ ˍˍˍˍ ˍˍ ˍˍˍ future tˍˍˍˍ'ˍ gˍˍˍˍ ˍˍ ˍˍ ˍˍˍˍ aˍˍ ˍˍˍ pˍˍˍˍˍˍˍˍˍˍˍˍ ˍˍˍˍ ˍˍ ˍˍˍˍˍˍˍ ˍˍˍˍ what yˍˍ ˍˍˍ ˍˍ ˍˍˍˍ these. || 所以我认为这是一个很好的例子，但你在这个视频中学到的东西可以用于其他机器学习程序，因为我相信将来会有更多的程序，并且你可以用这些程序做的事情将是无穷无尽的。
This is going to be a very hands-on lesson. So you will see me type things into ChatGPT and you will see how I use it to learn a language such as English. So I'm very excited. ||This iˍ going tˍ bˍ ˍ very hands-oˍ lesson. Sˍ you will see me type things into ChatGPT aˍˍ you will see hˍˍ I use it tˍ learn ˍ language such aˍ English. Sˍ I'ˍ very exˍˍˍed. ||This iˍ going tˍ bˍ ˍ vˍˍˍ hands-oˍ lesson. Sˍ you wˍˍˍ see me type things iˍˍˍ ChatGPT aˍˍ you wˍˍˍ see hˍˍ I use it tˍ learn ˍ language sˍˍˍ aˍ English. Sˍ I'ˍ vˍˍˍ eˍˍˍˍˍd. ||This iˍ goiˍˍ tˍ bˍ ˍ vˍˍˍ hands-oˍ lesson. Sˍ you wˍˍˍ seˍ me tyˍˍ things iˍˍˍ ChatGPT aˍˍ you wˍˍˍ seˍ hˍˍ I usˍ it tˍ leaˍˍ ˍ language sˍˍˍ aˍ English. Sˍ I'ˍ vˍˍˍ eˍˍˍˍˍd. ||This iˍ goˍˍˍ tˍ bˍ ˍ vˍˍˍ hˍˍˍˍ-oˍ lˍˍˍˍˍ. Sˍ you wˍˍˍ seˍ me tyˍˍ things iˍˍˍ ChatGPT aˍˍ you wˍˍˍ seˍ hˍˍ I usˍ it tˍ leˍˍˍ ˍ language sˍˍˍ aˍ English. Sˍ I'ˍ vˍˍˍ eˍˍˍˍˍˍ. ||Tˍˍˍ ˍˍ gˍˍˍˍ ˍˍ ˍˍ ˍ ˍˍˍˍ hˍˍˍˍ-ˍˍ lˍˍˍˍˍ. ˍˍ yˍˍ ˍˍˍˍ sˍˍ mˍ tˍˍˍ things ˍˍˍˍ ChatGPT aˍˍ yˍˍ ˍˍˍˍ sˍˍ hˍˍ I uˍˍ it ˍˍ lˍˍˍˍ ˍ language ˍˍˍˍ ˍˍ English. ˍˍ Iˍˍ ˍˍˍˍ ˍˍˍˍˍˍˍ. || 这将是一个非常实用的课程。所以你会看到我在ChatGPT中输入一些东西，你会看到我如何使用它来学习英语这样的语言。所以我非常兴奋。
But first what I wanted to talk about is what is ChatGPT? ||Bˍˍ fˍˍˍt what I wanted tˍ talk aˍˍˍt iˍ what iˍ ChatGPT? ||Bˍˍ fˍˍˍt what I wanted tˍ talk aˍˍˍt iˍ what iˍ ChatGPT? ||Bˍˍ fˍˍˍˍ what I wantˍˍ tˍ taˍˍ aˍˍˍˍ iˍ what iˍ ChatGPT? ||Bˍˍ fˍˍˍˍ what I wanˍˍˍ tˍ taˍˍ aˍˍˍˍ iˍ what iˍ Cˍˍˍˍˍˍ? ||Bˍˍ ˍˍˍˍˍ what I wˍˍˍˍˍ ˍˍ tˍˍˍ ˍˍˍˍˍ ˍˍ wˍˍˍ ˍˍ Cˍˍˍˍˍˍ? || 但首先我想谈的是ChatGPT是什么？
