As a kid growing up in South Africa, Elon Musk knew pain and learned how to survive it. ||Aˍ ˍ kid growing uˍ iˍ South Africa, Elon Musk knew pain aˍˍ learned hˍˍ tˍ survive it. ||Aˍ ˍ kid growing uˍ iˍ South Africa, Elon Musk knew pain aˍˍ learned hˍˍ tˍ survive it. ||Aˍ ˍ kid growˍˍˍ uˍ iˍ South Africa, Elon Musk knˍˍ pain aˍˍ learˍˍˍ hˍˍ tˍ survˍˍˍ it. ||Aˍ ˍ kˍˍ groˍˍˍˍ uˍ iˍ South Africa, Elon Musk knˍˍ pain aˍˍ leaˍˍˍˍ hˍˍ tˍ surˍˍˍˍ it. ||ˍˍ ˍ kid gˍˍˍˍˍˍ ˍˍ ˍˍ South Africa, Elon Musk kˍˍˍ pain aˍˍ lˍˍˍˍˍˍ hˍˍ ˍˍ sˍˍˍˍˍˍ it. || 在南非长大的时候，埃隆·马斯克了解痛苦并学会了如何生存。
When he was twelve, he was taken by bus to a wilderness survival camp, known as a veldskool. ||When he wˍˍ tˍˍˍˍe, he wˍˍ taken bˍ bus tˍ ˍ wilderness survival camp, known aˍ ˍ veldskool. ||Wˍˍˍ he wˍˍ tˍˍˍˍe, he wˍˍ taken bˍ bus tˍ ˍ wilderness survival camp, known aˍ ˍ veldskool. ||Wˍˍˍ he wˍˍ tˍˍˍˍˍ, he wˍˍ take~ bˍ bus tˍ ˍ wilderness survival camp, know~ aˍ ˍ veldskool. ||Wˍˍˍ he wˍˍ tˍˍˍˍˍ, he wˍˍ take~ bˍ bˍˍ tˍ ˍ wˍˍˍˍˍˍˍˍˍ sˍˍˍˍˍˍˍ cˍˍˍ, know~ aˍ ˍ vˍˍˍˍˍˍˍˍ. ||Wˍˍˍ hˍ ˍˍˍ ˍˍˍˍˍˍ, hˍ ˍˍˍ tˍˍˍˍ ˍˍ bus ˍˍ ˍ wˍˍˍˍˍˍˍˍˍ sˍˍˍˍˍˍˍ camp, kˍˍˍˍ ˍˍ ˍ veldskool. || 十二岁时，他被巴士带到一个荒野生存营，称为veldskool。
”It was a paramilitary Lord of the Flies,” he recalls. ||”It wˍˍ ˍ paˍˍˍˍˍˍˍˍry Lord oˍ tˍˍ Flies,” he recalls. ||”It wˍˍ ˍ pˍˍˍˍˍˍˍˍˍˍy Lord oˍ tˍˍ Flies,” he recalls. ||”It wˍˍ ˍ pˍˍˍˍˍˍˍˍˍˍy Lord oˍ tˍˍ Flies,” he recall~. ||”It wˍˍ ˍ pˍˍˍˍˍˍˍˍˍˍˍ Lord oˍ tˍˍ Fˍˍˍˍ,” he recall~. ||”Iˍ ˍˍˍ ˍ ˍˍˍˍˍˍˍˍˍˍˍˍ Lord ˍˍ ˍˍˍ Flies,” hˍ rˍˍˍˍˍˍ. || ”那是一个准军事的蝇王世界，”他回忆道。
The kids were each given small rations of food and water, and they were allowed, indeed encouraged, to fight over them. ||Tˍˍ kids were each given sˍˍˍl rations oˍ food aˍˍ water, aˍˍ they were allowed, iˍˍˍˍd enˍˍˍˍˍˍed, tˍ fight over them. ||Tˍˍ kids wˍˍˍ each given sˍˍˍl rations oˍ food aˍˍ water, aˍˍ they wˍˍˍ allowed, iˍˍˍˍd eˍˍˍˍˍˍˍˍd, tˍ fight oˍˍˍ them. ||Tˍˍ kids wˍˍˍ each give~ sˍˍˍˍ rations oˍ food aˍˍ water, aˍˍ they wˍˍˍ alloˍˍˍ, iˍˍˍˍˍ eˍˍˍˍˍˍˍˍd, tˍ figˍˍ oˍˍˍ them. ||Tˍˍ kˍˍˍ wˍˍˍ each give~ sˍˍˍˍ rations oˍ fˍˍˍ aˍˍ wˍˍˍˍ, aˍˍ they wˍˍˍ allˍˍˍˍ, iˍˍˍˍˍ eˍˍˍˍˍˍˍˍˍ, tˍ fiˍˍˍ oˍˍˍ them. ||ˍˍˍ kˍˍˍ ˍˍˍˍ eˍˍˍ gˍˍˍˍ ˍˍˍˍˍ rations ˍˍ food aˍˍ wˍˍˍˍ, aˍˍ tˍˍˍ ˍˍˍˍ aˍˍˍˍˍˍ, ˍˍˍˍˍˍ ˍˍˍˍˍˍˍˍˍˍ, ˍˍ fˍˍˍˍ ˍˍˍˍ them. || 孩子们每人分到少量的食物和水，并被允许——实际上是被鼓励——为此打架。
”Bullying was considered a virtue,” his younger brother Kimbal says. ||”Bullying wˍˍ considered ˍ virtue,” his yoˍˍˍer brother Kimbal says. ||”Bullying wˍˍ considered ˍ virtue,” his yˍˍˍˍˍr brother Kimbal says. ||”Bullying wˍˍ consˍˍˍˍˍd ˍ virtue,” his yˍˍˍˍˍr brother Kimbal say~. ||”Bˍˍˍˍˍˍˍ wˍˍ conˍˍˍˍˍˍd ˍ vˍˍˍˍˍ,” his yˍˍˍˍˍˍ bˍˍˍˍˍˍ Kimbal say~. ||”Bˍˍˍˍˍˍˍ ˍˍˍ cˍˍˍˍˍˍˍˍˍ ˍ vˍˍˍˍˍ,” hˍˍ ˍˍˍˍˍˍˍ bˍˍˍˍˍˍ Kimbal sˍˍˍ. || ”欺凌被认为是一种美德，”他的弟弟金巴尔说。
The big kids quickly learned to punch the little ones in the face and take their stuff. ||Tˍˍ bˍˍ kids quˍˍˍly learned tˍ punch tˍˍ lˍˍˍˍe ones iˍ tˍˍ face aˍˍ take their stuff. ||Tˍˍ bˍˍ kids qˍˍˍˍˍy learned tˍ punch tˍˍ lˍˍˍˍe ones iˍ tˍˍ face aˍˍ take their stuff. ||Tˍˍ bˍˍ kids qˍˍˍˍˍy learˍˍˍ tˍ punˍˍ tˍˍ lˍˍˍˍˍ ones iˍ tˍˍ face aˍˍ taˍˍ their stuff. ||Tˍˍ bˍˍ kˍˍˍ qˍˍˍˍˍˍ leaˍˍˍˍ tˍ puˍˍˍ tˍˍ lˍˍˍˍˍ ones iˍ tˍˍ fˍˍˍ aˍˍ taˍˍ their stuff. ||ˍˍˍ ˍˍˍ kˍˍˍ ˍˍˍˍˍˍˍ lˍˍˍˍˍˍ ˍˍ pˍˍˍˍ ˍˍˍ ˍˍˍˍˍˍ ones ˍˍ ˍˍˍ face aˍˍ tˍˍˍ tˍˍˍˍ stuff. || 大孩子很快学会了打小孩子的脸并拿走他们的东西。
Elon, who was small and emotionally awkward, got beaten up twice. ||Elon, who wˍˍ sˍˍˍl aˍˍ emˍˍˍˍˍˍˍly awˍˍˍrd, gˍˍ beaten uˍ tˍˍˍe. ||Elon, who wˍˍ sˍˍˍl aˍˍ eˍˍˍˍˍˍˍˍˍy aˍˍˍˍˍd, gˍˍ beaten uˍ tˍˍˍe. ||Elon, who wˍˍ sˍˍˍˍ aˍˍ eˍˍˍˍˍˍˍˍˍy aˍˍˍˍˍd, gˍˍ beatˍˍ uˍ tˍˍˍˍ. ||Elon, who wˍˍ sˍˍˍˍ aˍˍ eˍˍˍˍˍˍˍˍˍˍ aˍˍˍˍˍˍ, gˍˍ beaˍˍˍ uˍ tˍˍˍˍ. ||Elon, wˍˍ ˍˍˍ ˍˍˍˍˍ aˍˍ ˍˍˍˍˍˍˍˍˍˍˍ ˍˍˍˍˍˍˍ, ˍˍˍ bˍˍˍˍˍ ˍˍ ˍˍˍˍˍ. || 埃隆个子小，情感上笨拙，被打了两次。
He would end up losing ten pounds. ||He wˍˍˍd end uˍ losing tˍˍ pounds. ||He wˍˍˍd end uˍ losing tˍˍ pounds. ||He wˍˍˍˍ enˍ uˍ losiˍˍ tˍˍ pounds. ||He wˍˍˍˍ enˍ uˍ losˍˍˍ tˍˍ pounds. ||Hˍ ˍˍˍˍˍ eˍˍ ˍˍ lˍˍˍˍˍ ˍˍˍ pounds. || 他最终减掉了十磅。
Near the end of the first week, the boys were divided into two groups and told to attack each other. ||Near tˍˍ end oˍ tˍˍ fˍˍˍt week, tˍˍ boys were divided into tˍˍ groups aˍˍ told tˍ attack each oˍˍˍr. ||Nˍˍˍ tˍˍ end oˍ tˍˍ fˍˍˍt week, tˍˍ boys wˍˍˍ divided iˍˍˍ tˍˍ groups aˍˍ told tˍ attack eˍˍˍ oˍˍˍr. ||Nˍˍˍ tˍˍ end oˍ tˍˍ fˍˍˍˍ week, tˍˍ boys wˍˍˍ divide~ iˍˍˍ tˍˍ groups aˍˍ toˍˍ tˍ attaˍˍ eˍˍˍ oˍˍˍˍ. ||Nˍˍˍ tˍˍ eˍˍ oˍ tˍˍ fˍˍˍˍ wˍˍˍ, tˍˍ bˍˍˍ wˍˍˍ divide~ iˍˍˍ tˍˍ gˍˍˍˍˍ aˍˍ toˍˍ tˍ attˍˍˍ eˍˍˍ other. ||ˍˍˍˍ ˍˍˍ end ˍˍ ˍˍˍ ˍˍˍˍˍ week, ˍˍˍ bˍˍˍ ˍˍˍˍ dˍˍˍˍˍˍ ˍˍˍˍ ˍˍˍ groups aˍˍ tˍˍˍ ˍˍ aˍˍˍˍˍ ˍˍˍˍ other. || 在第一周快结束时，男孩们被分成两组并被告知互相攻击。
”It was so insane, mind blowing,” Musk recalls. ||”It wˍˍ sˍ iˍˍˍˍe, mind blowing,” Musk recalls. ||”It wˍˍ sˍ iˍˍˍˍe, mind blowing,” Musk recalls. ||”It wˍˍ sˍ iˍˍˍˍˍ, mind blowˍˍˍ,” Musk recall~. ||”It wˍˍ sˍ iˍˍˍˍˍ, mˍˍˍ bloˍˍˍˍ,” Musk recall~. ||”Iˍ ˍˍˍ ˍˍ ˍˍˍˍˍˍ, mˍˍˍ bˍˍˍˍˍˍ,” Musk rˍˍˍˍˍˍ. || ”那太疯狂了，令人震惊，”马斯克回忆道。
Every few years, one of the kids would die. ||Eˍˍˍy fˍˍ years, oˍˍ oˍ tˍˍ kids wˍˍˍd die. ||Eˍˍˍy fˍˍ years, oˍˍ oˍ tˍˍ kids wˍˍˍd die. ||Eˍˍˍˍ fˍˍ years, oˍˍ oˍ tˍˍ kids wˍˍˍˍ diˍ. ||Eˍˍˍˍ fˍˍ yˍˍˍˍ, oˍˍ oˍ tˍˍ kˍˍˍ wˍˍˍˍ diˍ. ||ˍˍˍˍˍ ˍˍˍ yˍˍˍˍ, ˍˍˍ ˍˍ ˍˍˍ kids ˍˍˍˍˍ dˍˍ. || 每隔几年，就会有一个孩子死去。
